bquxjob_50548d7f_198196aaa7e
website_url,crawl_date,ecommerce_platform,best_popularity_rank
https://www.moov.com.ar/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.myfonts.com/,2025-06-01,Shopify,10000
https://www.natura.com.br/,2025-06-01,Amazon Webstore,10000
https://www.next.ie/,2025-06-01,Next Total,10000
https://www.nextdirect.com/,2025-06-01,Next Total,10000
https://www.oechsle.pe/,2025-06-01,VTEX,10000
https://www.orange.es/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.ovs.it/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.paguemenos.com.br/,2025-06-01,VTEX,10000
https://www.palmonas.com/,2025-06-01,Shopify,10000
https://www.panvel.com/,2025-06-01,Amazon Webstore,10000
https://www.parfois.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.petsmart.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.plazavea.com.pe/,2025-06-01,VTEX,10000
https://www.primor.eu/,2025-06-01,Magento,10000
https://www.primor.eu/,2025-06-01,Hyva Themes,10000
https://www.promart.pe/,2025-06-01,VTEX,10000
https://www.puuilo.fi/,2025-06-01,Magento,10000
https://www.reliancedigital.in/,2025-06-01,Fynd Platform,10000
https://www.rituals.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.rugbyrama.fr/,2025-06-01,Magento,10000
https://www.sainsburys.co.uk/,2025-06-01,HCL Commerce,10000
https://www.sanmar.com/,2025-06-01,SAP Commerce Cloud,10000
https://www.shopify.com/,2025-06-01,Shopify,10000
https://www.shutterfly.com/,2025-06-01,Amazon Webstore,10000
https://www.singaporeair.com/,2025-06-01,Amazon Webstore,10000
https://www.sklum.com/,2025-06-01,PrestaShop,10000
https://www.sportsmans.com/,2025-06-01,SAP Commerce Cloud,10000
https://www.spotlightstores.com/,2025-06-01,SAP Commerce Cloud,10000
https://www.stylevana.com/,2025-06-01,Magento,10000
https://www.talbots.com/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.tanishq.co.in/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.theknot.com/,2025-06-01,Amazon Webstore,10000
https://www.titan.co.in/,2025-06-01,Salesforce Commerce Cloud,10000
https://www.trekbikes.com/,2025-06-01,SAP Commerce Cloud,10000
https://www.unieuro.it/,2025-06-01,SAP Commerce Cloud,10000
https://www.visualcapitalist.com/,2025-06-01,WooCommerce,10000
https://www.vivaaerobus.com/,2025-06-01,Amazon Webstore,10000
https://www.watsons.com.tr/,2025-06-01,SAP Commerce Cloud,10000
https://www.westside.com/,2025-06-01,Shopify,10000
https://www.wickes.co.uk/,2025-06-01,SAP Commerce Cloud,10000
https://zapvi.in/,2025-06-01,WooCommerce,10000
https://zouk.co.in/,2025-06-01,Shopify,10000
https://1418museum.ru/,2025-06-01,1C-Bitrix,50000
https://2b.com.eg/,2025-06-01,Magento,50000
https://3saf.com/,2025-06-01,Salla,50000
https://8a.pl/,2025-06-01,Magento,50000
https://abasmanesh.com/,2025-06-01,WooCommerce,50000
https://abrasuaconta.santander.com.br/,2025-06-01,Amazon Webstore,50000
https://acwo.com/,2025-06-01,Amazon Webstore,50000
https://acwo.com/,2025-06-01,Shopify,50000
https://agro-market.net/,2025-06-01,1C-Bitrix,50000
https://agro-market24.ru/,2025-06-01,1C-Bitrix,50000
https://ahamo.com/,2025-06-01,Amazon Webstore,50000
https://aiko-bg.com/,2025-06-01,Magento,50000
https://akcios-ujsag.hu/,2025-06-01,WooCommerce,50000
https://alfatah.pk/,2025-06-01,Shopify,50000
https://allo.ua/,2025-06-01,Magento,50000
https://allzone.es/,2025-06-01,PrestaShop,50000
https://almaceneselrey.com/,2025-06-01,Magento,50000
https://almirah.com.pk/,2025-06-01,Shopify,50000
https://alphacommunity.in/,2025-06-01,Amazon Webstore,50000
https://andzela.com/,2025-06-01,PrestaShop,50000
https://app.sophia.org/,2025-06-01,Amazon Webstore,50000
https://apps.shopify.com/,2025-06-01,Shopify,50000
https://apteka.uz/,2025-06-01,1C-Bitrix,50000
https://apteline.pl/,2025-06-01,Magento,50000
https://aqualogica.in/,2025-06-01,Shopify,50000
https://ar.isadoraonline.com/,2025-06-01,Magento,50000
https://ar.puma.com/,2025-06-01,Salesforce Commerce Cloud,50000
https://ar.todomoda.com/,2025-06-01,Magento,50000
https://aramya.in/,2025-06-01,Shopify,50000
https://arsenaldirect.arsenal.com/,2025-06-01,SAP Commerce Cloud,50000
https://aryacollections.com/,2025-06-01,Shopify,50000
https://asibiliou.gr/,2025-06-01,WooCommerce,50000
https://aspen.cps.edu/,2025-06-01,HCL Commerce,50000
https://aspen.knoxschools.org/,2025-06-01,HCL Commerce,50000
https://astrotalk.store/,2025-06-01,Shopify,50000
